	  energy	energy_err	    mean	mean_err	   sigma	integral	     rms	red.chi2
Chan# 1060
	  481.69	    0.10	 1335.15	    0.08	    5.31	 6277.23	    5.90	    4.07
	  553.84	    0.10	 1536.56	    0.22	    5.56	 1289.33	    5.30	    1.88
	  975.65	    0.10	 2711.02	    0.06	    6.17	13458.66	    6.11	    2.73
	 1047.80	    0.10	 2911.87	    0.15	    6.45	 2920.59	    5.75	    1.47
===============
Chan# 1061
	  481.69	    0.10	 1368.74	    0.25	    4.62	  904.07	    9.11	    4.63
	  553.84	    0.10	 1735.35	  505.85	   84.15	   90.64	    8.42	    5.25
	  975.65	    0.10	 2742.96	    1.41	    0.03	   11.28	   11.41	    0.27
	 1047.80	    0.10	 2722.05	22951.69	   54.23	    2.86	   10.34	    0.12
===============

